area_type,availability,location,size,society,total_sqft,bath,balcony,price,floor,furnishing
Super Built-up,Ready To Move,Wakad,3 BHK,Society4,1200,4,3,71.51,4th,Fully Furnished
Carpet,Ready To Move,Aundh,1 BHK,Society3,800,4,1,92.48,4th,Semi-Furnished
Built-up,Under Construction,Magarpatta,1 BHK,Society5,800,3,1,89.73,5th,Fully Furnished
Carpet,Under Construction,Kharadi,3 BHK,Society3,1200,2,1,95.59,Ground,Semi-Furnished
Built-up,Ready To Move,Aundh,2 BHK,Society3,1000,3,1,94.8,1st,Semi-Furnished
Super Built-up,Under Construction,Baner,1 BHK,Society5,800,2,2,94.96,1st,Semi-Furnished
Built-up,Ready To Move,Hadapsar,1 BHK,Society2,800,4,1,50.96,5th,Semi-Furnished
Carpet,Ready To Move,Hinjawadi,4 BHK,Society2,1500,4,2,93.89,5th,Semi-Furnished
Carpet,Under Construction,Pimpri-Chinchwad,2 BHK,Society1,1000,1,1,63.2,5th,Fully Furnished
Carpet,Ready To Move,Hinjawadi,2 BHK,Society2,1000,2,3,88.07,5th,Unfurnished
Carpet,Ready To Move,Viman Nagar,3 BHK,Society4,1200,4,3,100.69,Ground,Unfurnished
Built-up,Under Construction,Pashan,4 BHK,Society3,1500,3,1,67.65,3rd,Semi-Furnished
Built-up,Under Construction,Shivaji Nagar,1 BHK,Society1,800,1,1,84.96,2nd,Unfurnished
Carpet,Under Construction,Hinjawadi,4 BHK,Society4,1500,1,1,93.65,Top,Semi-Furnished
Carpet,Under Construction,Pimpri-Chinchwad,2 BHK,Society2,1000,4,1,63.78,1st,Unfurnished
Built-up,Under Construction,Shivaji Nagar,3 BHK,Society3,1200,3,1,90.54,3rd,Unfurnished
Carpet,Ready To Move,Magarpatta,2 BHK,Society4,1000,2,3,93.17,Top,Fully Furnished
Carpet,Ready To Move,Hinjawadi,1 BHK,Society5,800,4,1,85.75,4th,Fully Furnished
Carpet,Under Construction,Kharadi,3 BHK,Society2,1200,2,3,95.98,5th,Fully Furnished
Super Built-up,Ready To Move,Hadapsar,1 BHK,Society2,800,2,1,49.41,1st,Unfurnished
Super Built-up,Under Construction,Kharadi,3 BHK,Society2,1200,2,2,95.4,3rd,Semi-Furnished
Carpet,Ready To Move,Wakad,4 BHK,Society1,1500,1,1,73.92,Top,Fully Furnished
Built-up,Ready To Move,Hinjawadi,4 BHK,Society2,1500,3,2,92.55,5th,Fully Furnished
Carpet,Ready To Move,Pimpri-Chinchwad,3 BHK,Society5,1200,3,2,65.87,1st,Fully Furnished
Built-up,Under Construction,Baner,4 BHK,Society5,1500,3,3,102.55,2nd,Semi-Furnished
Carpet,Ready To Move,Aundh,4 BHK,Society2,1500,1,3,99.9,Ground,Fully Furnished
Built-up,Under Construction,Hadapsar,1 BHK,Society4,800,2,3,50.75,Top,Semi-Furnished
Carpet,Under Construction,Baner,2 BHK,Society2,1000,4,1,97.43,4th,Unfurnished
Super Built-up,Under Construction,Sadashiv Peth,4 BHK,Society3,1500,1,3,53.43,1st,Fully Furnished
Super Built-up,Ready To Move,Aundh,1 BHK,Society2,800,2,1,91.6,Top,Unfurnished
